Date : 2022-09-23 10:48:30
Directory : /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend
Total : 170 files,  23782 codes, 75 comments, 1958 blanks, all 25815 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |     12,621 |          0 |          2 |     12,623 |
| JavaScript         |        162 |     10,760 |         74 |      1,906 |     12,740 |
| XML                |          2 |        184 |          1 |          0 |        185 |
| CSS                |          2 |        144 |          0 |         24 |        168 |
| Markdown           |          1 |         70 |          0 |         25 |         95 |
| JSON with Comments |          1 |          3 |          0 |          1 |          4 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                   |        170 |     23,782 |         75 |      1,958 |     25,815 |
| components                                                                                                                                                          |        121 |      8,783 |         64 |      1,502 |     10,349 |
| components/account                                                                                                                                                  |          2 |         88 |          0 |         12 |        100 |
| components/address                                                                                                                                                  |          4 |        736 |          0 |        123 |        859 |
| components/cart                                                                                                                                                     |          7 |        668 |          4 |        122 |        794 |
| components/cart/cart-panel-list                                                                                                                                     |          4 |        201 |          3 |         37 |        241 |
| components/cart/cart-panel-list/cart-panel-description                                                                                                              |          3 |        148 |          3 |         30 |        181 |
| components/cart/checkout-form                                                                                                                                       |          2 |        328 |          1 |         62 |        391 |
| components/checkout                                                                                                                                                 |         13 |      1,254 |         25 |        264 |      1,543 |
| components/checkout/payment-method                                                                                                                                  |          4 |        411 |         21 |         97 |        529 |
| components/checkout/review-items                                                                                                                                    |          2 |        273 |          4 |         51 |        328 |
| components/checkout/shipping-address                                                                                                                                |          4 |        337 |          0 |         62 |        399 |
| components/footer                                                                                                                                                   |          8 |        358 |          1 |         20 |        379 |
| components/footer/main-bottom-nav                                                                                                                                   |          3 |        182 |          0 |          8 |        190 |
| components/footer/main-bottom-nav/data                                                                                                                              |          1 |        109 |          0 |          0 |        109 |
| components/footer/sub-bottom-nav                                                                                                                                    |          4 |        165 |          1 |          9 |        175 |
| components/footer/sub-bottom-nav/data                                                                                                                               |          2 |         53 |          0 |          2 |         55 |
| components/header                                                                                                                                                   |         18 |      1,446 |         14 |        215 |      1,675 |
| components/header/main-navbar                                                                                                                                       |         11 |        891 |         14 |        140 |      1,045 |
| components/header/main-navbar/search-bar                                                                                                                            |          3 |        218 |          0 |         41 |        259 |
| components/header/sub-navbar                                                                                                                                        |          5 |        462 |          0 |         53 |        515 |
| components/header/sub-navbar/all-tab                                                                                                                                |          4 |        367 |          0 |         43 |        410 |
| components/header/sub-navbar/all-tab/data                                                                                                                           |          1 |        123 |          0 |          2 |        125 |
| components/home                                                                                                                                                     |          4 |        183 |          6 |         21 |        210 |
| components/my-profile                                                                                                                                               |          5 |        553 |          3 |         94 |        650 |
| components/order                                                                                                                                                    |          1 |        109 |          0 |         17 |        126 |
| components/order-details                                                                                                                                            |          4 |        226 |          0 |         57 |        283 |
| components/order-history                                                                                                                                            |          3 |        360 |          0 |         63 |        423 |
| components/product                                                                                                                                                  |          4 |        246 |          0 |         42 |        288 |
| components/product-detail                                                                                                                                           |          7 |        484 |         11 |         81 |        576 |
| components/product-detail/product-detail-info                                                                                                                       |          3 |        228 |          5 |         37 |        270 |
| components/product-detail/review-overview                                                                                                                           |          2 |        130 |          0 |         24 |        154 |
| components/review                                                                                                                                                   |          8 |        671 |          0 |        102 |        773 |
| components/ui                                                                                                                                                       |         30 |        978 |          0 |        200 |      1,178 |
| components/ui/dialog                                                                                                                                                |          1 |         29 |          0 |          7 |         36 |
| components/ui/dogs-info                                                                                                                                             |          4 |         87 |          0 |         17 |        104 |
| components/ui/forms                                                                                                                                                 |         14 |        478 |          0 |        104 |        582 |
| components/ui/page-title                                                                                                                                            |          2 |        109 |          0 |         20 |        129 |
| components/wallet                                                                                                                                                   |          3 |        423 |          0 |         69 |        492 |
| pages                                                                                                                                                               |         20 |      1,436 |          1 |        296 |      1,733 |
| pages/account                                                                                                                                                       |          7 |        179 |          0 |         38 |        217 |
| pages/account/order-history                                                                                                                                         |          2 |         79 |          0 |         14 |         93 |
| pages/auth                                                                                                                                                          |          5 |        795 |          0 |        135 |        930 |
| pages/cart                                                                                                                                                          |          2 |         39 |          0 |          8 |         47 |
| pages/products                                                                                                                                                      |          3 |        374 |          1 |        103 |        478 |
| public                                                                                                                                                              |          2 |        184 |          1 |          0 |        185 |
| public/images                                                                                                                                                       |          1 |        180 |          1 |          0 |        181 |
| store                                                                                                                                                               |         11 |        305 |          0 |         71 |        376 |
| styles                                                                                                                                                              |          2 |        144 |          0 |         24 |        168 |
| utils                                                                                                                                                               |          6 |         87 |          0 |         22 |        109 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                            | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/.eslintrc.json                                                                         | JSON with Comments |          3 |          0 |          1 |          4 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/README.md                                                                              | Markdown           |         70 |          0 |         25 |         95 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/appConfig.js                                                                           | JavaScript         |         72 |          1 |         11 |         84 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/account/account-service-card.js                                             | JavaScript         |         70 |          0 |          6 |         76 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/account/account-service-info.js                                             | JavaScript         |         18 |          0 |          6 |         24 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/address/add-address-form.js                                                 | JavaScript         |        243 |          0 |         34 |        277 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/address/address-card.js                                                     | JavaScript         |        155 |          0 |         34 |        189 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/address/address-info.js                                                     | JavaScript         |        110 |          0 |         22 |        132 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/address/edit-address-form.js                                                | JavaScript         |        228 |          0 |         33 |        261 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/cart/cart-info.js                                                           | JavaScript         |        139 |          0 |         23 |        162 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/cart/cart-panel-list/cart-panel-description/buy-again-items-button-stack.js | JavaScript         |         25 |          0 |          2 |         27 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/cart/cart-panel-list/cart-panel-description/cart-panel-description.js       | JavaScript         |         34 |          3 |         10 |         47 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/cart/cart-panel-list/cart-panel-description/saved-items-button-stack.js     | JavaScript         |         89 |          0 |         18 |        107 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/cart/cart-panel-list/cart-panel-list.js                                     | JavaScript         |         53 |          0 |          7 |         60 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/cart/checkout-form/checkout-form-item-list.js                               | JavaScript         |        179 |          1 |         34 |        214 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/cart/checkout-form/checkout-form.js                                         | JavaScript         |        149 |          0 |         28 |        177 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/checkout/checkout-info.js                                                   | JavaScript         |         30 |          0 |          7 |         37 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/checkout/checkout-step.js                                                   | JavaScript         |        119 |          0 |         24 |        143 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/checkout/payment-method/credit-card-payment-info.js                         | JavaScript         |         78 |         21 |         29 |        128 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/checkout/payment-method/payment-method.js                                   | JavaScript         |        132 |          0 |         30 |        162 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/checkout/payment-method/select-credit-card-dialog.js                        | JavaScript         |        123 |          0 |         23 |        146 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/checkout/payment-method/select-credit-card.js                               | JavaScript         |         78 |          0 |         15 |         93 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/checkout/review-items/review-items-list.js                                  | JavaScript         |         69 |          4 |         13 |         86 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/checkout/review-items/review-items.js                                       | JavaScript         |        204 |          0 |         38 |        242 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/checkout/shipping-address/select-address-card.js                            | JavaScript         |        100 |          0 |         19 |        119 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/checkout/shipping-address/select-address-dialog.js                          | JavaScript         |        124 |          0 |         22 |        146 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/checkout/shipping-address/select-address-radio.js                           | JavaScript         |         23 |          0 |          3 |         26 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/checkout/shipping-address/shipping-address.js                               | JavaScript         |         90 |          0 |         18 |        108 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/checkout/shipping-method.js                                                 | JavaScript         |         84 |          0 |         23 |        107 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/footer/footer.js                                                            | JavaScript         |         11 |          0 |          3 |         14 |
